[23-6-2023 | 11:21:53]::socket created successfully
[23-6-2023 | 11:21:53]::socket successfully bound to address
[23-6-2023 | 11:21:53]::server listening for connections
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
[23-6-2023 | 11:22:5]::connection accepted
[23-6-2023 | 11:22:5]::[127.0.0.1:8080] GET HTTP/1.1 /
